sample_id,annotation_priority,suggested_difficulty_label,required_evidence_ids,evidence_context,qa,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason
EV001,high,Medium,"[0, 3]","[S0] "" but the bull can not be my fortune , "" she cried in terror .
[S3] "" for you lookit out of my door with the intent of meeting your fortune ; and when your fortune has come tae ye , you must just thole it .","Q: why didn't the youngest princess want to go with the bull ?
A: she did not want to accept her fortune .",2,no,yes,"S0 indicates the princess's fear of the bull being her fortune, and S3 implies that encountering one's fortune requires acceptance. Together, they support the inference that she did not want to accept her fortune.",,,,,,the-black-bull-of-norroway,422,causal relationship,local,implicit,"[S0] "" but the bull can not be my fortune , "" she cried in terror .
[S1] "" i can not go away with a bull .
[S2] "" "" but ye'll need tae , "" replied the hen - wife calmly .
[S3] "" for you lookit out of my door with the intent of meeting your fortune ; and when your fortune has come tae ye , you must just thole it .
[S4] "" and when the poor princess ran weeping to her mother , to beg to be allowed to stay at home , she found her mother of the same mind as the wise woman ; and so she had to allow herself to be lifted up on to the back of the enormous black bull that had come up to the door of the castle , and was now standing there quietly enough .
[S5] and when she was settled , he set off again on his wild career , while she sobbed and trembled with terror , and clung to his horns with all her might .
[S6] on and on they went , until at last the poor maiden was so faint with fear and hunger that she could scarce keep her seat .","S0: decision=drop, can_still_answer=yes, reason=The remaining sentence implies the princess's reluctance to face her fortune, supporting the claim.
S3: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Hard,"[0, 3]",no,"S0 states her refusal to accept the bull as her fortune, and S3 explains the hen-wife's assertion that she must accept her fate, requiring synthesis of both."
EV002,high,Easy,[4],"[S4] as for thee , thou must seat thyself on this stone , and stir neither hand , nor foot , nor tongue till i return .","Q: what did the black bull tell the youngest princess to do while he fought the spirit of darkness ?
A: not move until he returned .",1,yes,yes,"S4 directly states that the youngest princess must not move her hand, foot, or tongue until the black bull returns.",,,,,,the-black-bull-of-norroway,425,action,local,implicit,"[S0] at the entrance the black bull stopped .
[S1] "" light down here , lady , "" he said , "" for in this glen a deadly conflict awaits me , which i must face unaided and alone .
[S2] for the dark and gloomy region that lies before us is the abode of a great spirit of darkness , who worketh much ill in the world .
[S3] i would fain fight with him and overcome him ; and , by my troth , i have good hope that i shall do so .
[S4] as for thee , thou must seat thyself on this stone , and stir neither hand , nor foot , nor tongue till i return .
[S5] for , if thou but so much as move , then the evil spirit of the glen will have thee in his power .
[S6] "" "" but how shall i know what is happening to thee ?
[S7] "" asked the princess anxiously , for she was beginning to grow quite fond of the huge black creature that had carried her so gallantly these last four days , "" if i have neither to move hand nor foot , nor yet to speak .
[S8] "" "" thou wilt know by the signs around thee , "" answered the bull .
[S9] "" for if everything about thee turn blue , then thou wilt know that i have vanquished the evil spirit ; but if everything about thee turn red , then the evil spirit hath vanquished me .
[S10] "" with these words he departed , and was soon lost to sight in the dark recesses of the glen , leaving the little princess sitting motionless on her stone , afraid to move so much as her little finger , in case some unknown evil fell upon her .","S4: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[4],yes,S4 explicitly states the instruction to not move until the bull returns.
EV003,high,Easy,[6],"[S6] his father , it is true , was of the opinion that there might be other work that would suit him better , for whoever was to herd hares would have to be quick and spry , and not a sleepy - head .","Q: why did the man think peter might not be suited for the shepherd job ?
A: peter was a sleepy - head .",1,yes,yes,S6 directly states that Peter's father thought he might not be suited for the job because he was a sleepy-head.,,,,,,kings-hares,458,causal relationship,local,implicit,"[S0] once upon a time there was a man who lived in the little back room .
[S1] he had given up his estate to the heir .
[S2] but in addition he had three sons , who were named peter , paul and esben , who was the youngest .
[S3] all three hung around at home and would not work , for they had it too easy .
[S4] they thought themselves too good for anything like work , and nothing was good enough for them .
[S5] finally peter once heard that the king wanted a shepherd for his hares , and he told his father he would apply for the position , as it would just suit him , seeing that he wished to serve no one lower in rank than the king .
[S6] his father , it is true , was of the opinion that there might be other work that would suit him better , for whoever was to herd hares would have to be quick and spry , and not a sleepy - head .
[S7] when the hares took to their heels in all directions , it was a dance of another kind than when one skipped about a room .
[S8] but it was of no use .
[S9] peter insisted , and would have his own way , took his knapsack , and shambled down hill .
[S10] after he had gone a while , he saw an old woman who had got her nose wedged in a tree - stump while chopping wood , and when peter saw her jerking and pulling away , trying to get out , he burst into loud laughter .","S6: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[6],yes,"S6 explicitly states the father's belief that Peter was a 'sleepy-head,' directly supporting the answer."
EV004,high,Medium,"[10, 11, 12, 13, 14]","[S10] she observed that they were total strangers in the country .
[S11] there was something so peculiar in their looks , air and manner , that she was disturbed by their presence .
[S12] they would not come near to the fire .
[S13] they sat in a remote part of the lodge , shy and taciturn , and drew their garments about them in such a manner as nearly to hide their faces .
[S14] so far as she could judge , they were pale , hollow - eyed , and long - visaged , very thin and emaciated .","Q: how will the wife feel about the two strange females ?
A: suspicious .",5,no,yes,"The evidence sentences describe the strange and unsettling behavior of the two females, which supports the simple inference that the wife feels suspicious about them.",,,,,,the-two-jeebi,313,feeling,summary,implicit,"[S0] there lived a hunter in the north , who had a wife and one child .
[S1] his lodge stood far off in the forest , several days ' journey from any other .
[S2] he spent his days in hunting , and his evenings in relating to his wife the incidents that had befallen him .
[S3] as game was very abundant , he found no difficulty in killing as much as they wanted .
[S4] just in all his acts , he lived a peaceful and happy life .
[S5] one evening during the winter season , it chanced that he remained out longer than usual , and his wife began to fear that some accident had befallen him .
[S6] it was already dark .
[S7] she listened attentively , and at last heard the sound of approaching footsteps .
[S8] not doubting that it was her husband , she went to the door and beheld two strange females .
[S9] she bade them enter , and invited them to remain .
[S10] she observed that they were total strangers in the country .
[S11] there was something so peculiar in their looks , air and manner , that she was disturbed by their presence .
[S12] they would not come near to the fire .
[S13] they sat in a remote part of the lodge , shy and taciturn , and drew their garments about them in such a manner as nearly to hide their faces .
[S14] so far as she could judge , they were pale , hollow - eyed , and long - visaged , very thin and emaciated .
[S15] there was but little light in the lodge , as the fire was low , and its fitful flashes , by disclosing their white faces and then dropping them in sudden darkness , served rather to increase than to dispel her fears .
[S16] "" merciful spirit !
[S17] "" cried a voice from the opposite part of the lodge ; "" there are two corpses clothed with garments !
[S18] "" the hunter 's wife turned around , but seeing nobody save her little child , staring across from under his blanket , she said to herself , "" the boy can not speak ; the sounds were but the gusts of wind .
[S19] "" she trembled , and was ready to sink to the earth .
[S20] her husband at this moment entered , and in some measure relieved her alarm .
[S21] he threw down the carcass of a large fat deer .
[S22] "" behold what a fine and fat animal !
[S23] "" cried the mysterious females ; and they immediately ran and pulled off pieces of the whitest fat , which they greedily devoured .","S10: decision=drop, can_still_answer=yes, reason=The remaining sentences describe the strange and peculiar behavior of the females, which supports the inference that the wife feels suspicious about them.
S11: decision=keep, can_still_answer=no, reason=The remaining evidence describes the appearance and behavior of the two strange females but does not explicitly or implicitly state the wife's feelings toward them.
S12: decision=drop, can_still_answer=yes, reason=The remaining sentences describe the strange and unsettling appearance and behavior of the females, which supports the inference that the wife would feel suspicious.
S13: decision=drop, can_still_answer=yes, reason=The remaining sentences describe the strange appearance and behavior of the females, which supports the inference that the wife feels suspicious about them.
S14: decision=drop, can_still_answer=yes, reason=The remaining sentence implies the wife feels disturbed by their peculiar looks, air, and manner, which supports the inference that she is suspicious.",Hard,"[10, 11, 12, 13, 14]",no,"S10-14 describe the females' strange appearance and behavior, supporting the inference of suspicion."
EV005,high,Medium,[11],"[S11] and then the king 's son recognized her , and was very happy .","Q: how did the master girl feel to be reunited with the king's son ?
A: happy .",1,no,yes,"S11 indicates that the king's son was very happy upon recognizing her, but it does not directly state how the master girl felt.",,,,,,master-girl,132,feeling,local,implicit,"[S0] when they sat down to the table the king 's son -- the same who had been at the giant's -- said it would be no more than right to invite the maiden , too , who had lent them the poker , and the door and the calf : "" for if we had not had these things , we should not have moved from the spot .
[S1] "" this seemed right to the king , so he sent five of his most distinguished courtiers to the little golden house .
[S2] they were to carry the king 's kindest greetings , and ask that the maiden come up to the castle and take dinner with them .
[S3] "" a kind greeting to the king , and if he is too good to come to me , then i am too good to go to him , "" said the master girl .
[S4] so the king had to go to her himself , and then she went along with him at once , and the king saw very well that she was more than she appeared to be , and gave her a place at the head of the table , next to the young bridegroom .
[S5] after they had been at dinner for a while , the master girl produced the rooster and the hen and the golden apple -- they were the three things she had taken along from the giant 's castle -- and placed them on the table before her .
[S6] at once the rooster and the hen began to fight for the golden apple .
[S7] "" why , just see how the two fight for the golden apple !
[S8] "" said the king 's son .
[S9] "" yes , that is how we had to fight the time we wanted to get out of the rock !
[S10] "" said the master girl .
[S11] and then the king 's son recognized her , and was very happy .
[S12] the witch who had rolled the apple over to him was duly punished .
[S13] then the wedding really began , and the bailiff , and the clerk and the magistrate held out to the very end , for all that their wings had been so thoroughly singed .","S11: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Medium,[11],no,"S11 directly states the king's son was happy upon recognizing the master girl, implying her positive feelings toward the reunion."
EV006,high,Hard,"[7, 8, 9]","[S7] "" you surely must have spoken to my master girl , for you could not have done that alone , "" said the giant .
[S8] "" yesterday the master chattered about the master girl , and to - day he is talking about her again .
[S9] i wish master would show me the creature , for i surely would like to see her , "" said the king 's son , and pretended to be very simple and stupid .","Q: how did the giant feel about the king's son ability to bring the horse in on his own ?
A: skeptical .",3,yes,yes,"S7 directly states the giant's skepticism, implying he did not believe the king's son could accomplish the task alone.",,,,,,master-girl,118,feeling,local,implicit,"[S0] in the evening the giant came home with his goats .
[S1] "" did you fetch the horse ?
[S2] "" he asked .
[S3] "" yes , master , "" said the king 's son .
[S4] "" it would make a fine saddle - horse , but i just took it straight to the stable .
[S5] "" "" i 'll have to see that , "" said the giant , and went into the stable .
[S6] but there stood the horse , just as the king 's son had said .
[S7] "" you surely must have spoken to my master girl , for you could not have done that alone , "" said the giant .
[S8] "" yesterday the master chattered about the master girl , and to - day he is talking about her again .
[S9] i wish master would show me the creature , for i surely would like to see her , "" said the king 's son , and pretended to be very simple and stupid .
[S10] "" you will get to see her in plenty of time , "" said the giant .","S7: decision=keep, can_still_answer=no, reason=The remaining evidence does not mention the giant or his feelings about the king's son's ability to bring the horse in on his own.
S8: decision=drop, can_still_answer=yes, reason=The giant's statement implies doubt about the king's son's ability to accomplish the task alone, supporting the target answer of skepticism.
S9: decision=keep, can_still_answer=no, reason=The remaining evidence does not provide information about the giant's feelings toward the king's son's ability to bring the horse in on his own.",Hard,"[7, 8, 9]",no,"S7 shows the giant's doubt, S8-9 show the king's son's feigned simplicity, supporting the inference of skepticism."
EV007,high,Hard,"[1, 2, 3, 4]","[S1] while he was still but a little lad , he would do nothing at all ; but was always sitting at the hearth , digging in the ashes .
[S2] his parents apprenticed him here and apprenticed him there , to be taught something , but halvor never stayed .
[S3] when he had been anywhere for a few days , he ran away again , went back home , sat down at the hearth , and dug in the ashes .
[S4] but once a master mariner came along and asked whether halvor would not like to go with him , and sail the seas , and see foreign lands .","Q: how did halvor's parents feel because halvor would do nothing at all ?
A: frustrated .",4,no,yes,"The context implies frustration through Halvor's inaction and repeated running away from apprenticeships, but the word 'frustrated' is not directly stated.",,,,,,soria-moria-castle,345,feeling,local,implicit,"[S0] once upon a time there was a couple who had an only son named halvor .
[S1] while he was still but a little lad , he would do nothing at all ; but was always sitting at the hearth , digging in the ashes .
[S2] his parents apprenticed him here and apprenticed him there , to be taught something , but halvor never stayed .
[S3] when he had been anywhere for a few days , he ran away again , went back home , sat down at the hearth , and dug in the ashes .
[S4] but once a master mariner came along and asked whether halvor would not like to go with him , and sail the seas , and see foreign lands .
[S5] indeed , halvor would like to do so very much , and it did not take him long to make up his mind .","S1: decision=keep, can_still_answer=no, reason=The remaining evidence does not directly state or imply the emotional state of halvor's parents; it only describes halvor's behavior and a potential opportunity for him.
S2: decision=keep, can_still_answer=no, reason=The remaining evidence describes Halvor's behavior but does not mention his parents' feelings or their reaction to his inaction.
S3: decision=keep, can_still_answer=no, reason=The remaining evidence does not directly address halvor's parents' feelings, making the target answer unsupported.
S4: decision=keep, can_still_answer=no, reason=The remaining evidence describes Halvor's behavior but does not mention his parents' feelings or their reaction to his inaction.",Hard,"[1, 2, 3, 4]",no,"S1 and S2 describe Halvor's inaction and refusal to stay in apprenticeships, while S3 and S4 show his repeated pattern of running away, implying parental frustration."
EV008,high,Easy,[5],"[S5] "" the king did so and at once the dogs fell silent , and lay motionless as though they had grown fast to the ground .","Q: what happened to the dogs because silverwhite laid the three troll hairs on his dogs' heads ?
A: the dogs fell silent and lay motionless as though they had grown fast to the ground .",1,yes,yes,"S5 directly states that the dogs fell silent and lay motionless as though they had grown fast to the ground, which matches the target answer.",,,,,,silverwhite-lillwacker,136,outcome resolution,local,implicit,"[S0] but when the troll noticed he was getting the worst of it , he grew frightened , quickly ran to a high tree , and clambered into it .
[S1] silverwhite and the dogs ran after him , the dogs barking as loudly as they could .
[S2] then the troll begged for his life and said : "" dear silverwhite , i will take wergild for my brothers , only bid your dogs be still , so that we may talk .
[S3] "" the king bade his dogs be still , but in vain , they only barked the more loudly .
[S4] then the troll tore three hairs from his head , handed them to silverwhite and said : "" lay a hair on each of the dogs , and then they will be as quiet as can be .
[S5] "" the king did so and at once the dogs fell silent , and lay motionless as though they had grown fast to the ground .
[S6] now silverwhite realized that he had been deceived ; but it was too late .
[S7] the troll was already descending from the tree , and he drew his sword and again began to fight .
[S8] but they had exchanged no more than a few blows , before silverwhite received a mortal wound , and lay on the earth in a pool of blood .","S5: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[5],yes,S5 explicitly states the dogs fell silent and lay motionless after the troll hairs were laid on their heads.
EV009,high,Easy,[10],"[S10] and , as thou art a goodly fellow , i fear that he might choose thee .","Q: why did the queen fear that the evil spirt would take thomas ?
A: he was a good fellow .",1,yes,yes,S10 directly states that the queen feared the evil spirit might choose Thomas because he was a goodly fellow.,,,,,,thomas-the-rhymer,156,causal relationship,local,implicit,"[S0] "" it is time to mount and ride , thomas , "" she said , "" if thou wouldst ever see the fair castle of ercildoune again .
[S1] "" thomas looked at her in amazement .
[S2] "" thou spokest of seven long years , lady , "" he exclaimed , "" and i have been here but three days .
[S3] "" the queen smiled .
[S4] "" time passeth quickly in fairy - land , my friend , "" she replied .
[S5] "" thou thinkest that thou hast been here but three days .
[S6] it is seven years since we two met .
[S7] and now it is time for thee to go .
[S8] i would fain have had thy presence with me longer , but i dare not , for thine own sake .
[S9] for every seventh year an evil spirit cometh from the regions of darkness , and carrieth back with him one of our followers , whomsoever he chanceth to choose .
[S10] and , as thou art a goodly fellow , i fear that he might choose thee .
[S11] "" "" so , as i would be loth to let harm befall thee , i will take thee back to thine own country this very night .
[S12] ""","S10: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[10],yes,S10 directly states the queen feared the evil spirit might choose Thomas because he was a goodly fellow.
EV010,repair,Hard,"[5, 7]","[S5] "" oh , look !
[S7] "" one goose is enough to look at at a time , "" said he ; "" take him away and give him a whipping !","Q: why was peter given a whipping ?
A: because he did not fool the king .",2,no,no,The context does not provide any information about why Peter was given a whipping or whether it was related to not fooling the king.,,,,,,how-boots-befooled-king,13,causal relationship,local,implicit,"[S0] oh !
[S1] he would only like to have a try at befooling the king .
[S2] very good ; he should have his try .
[S3] he was not the first one who had been there that morning , early as it was .
[S4] so peter was shown in to the king .
[S5] "" oh , look !
[S6] "" said he , "" yonder are three black geese out in the court - yard "" but no , the king was not to be fooled so easily as all that .
[S7] "" one goose is enough to look at at a time , "" said he ; "" take him away and give him a whipping !
[S8] "" and so they did , and peter went home bleating like a sheep .
[S9] one day paul spoke up .
[S10] "" i should like to go and have a try for the princess , too , "" said he .
[S11] well , his father did not say no , for , after all , paul was the more clever of the two .
[S12] so off paul went as merrily as a duck in the rain .
[S13] by and by he came to the castle , and then he too was brought before the king just as peter had been .
[S14] "" oh , look !
[S15] "" said he , "" yonder is a crow sitting in the tree with three white stripes on his back !
[S16] """,,Hard,"[5, 7]",no,"S5 shows the king's refusal to be fooled, and S7 directly states the whipping occurred as a result."
EV011,high,Medium,[7],"[S7] he drew on one side and listened , and after the basket was drawn up about twenty perches , down came it and the stone like thunder , and the stone was broken into little bits .","Q: why was the stone broken into little bits ?
A: the basket was dropped back into the bottom of the well .",1,no,yes,"S7 implies that the basket was dropped, causing the stone to break into little bits, which supports the claim that the basket being dropped explains the broken stone.",,,,,,the-three-crowns,488,causal relationship,local,implicit,"[S0] so they took leave of him with great respect , and walked arm - in - arm to the bottom of the draw - well .
[S1] there was a sky and a sun over them , and a great high wall , covered with ivy , rose before them , and was so high they could not see to the top of it ; and there was an arch in this wall , and the bottom of the draw - well was inside the arch .
[S2] the youngest pair went last ; and says the princess to the prince , ' i 'm sure the two princes do n't mean any good to you .
[S3] keep these crowns under your cloak , and if you are obliged to stay last , do n't get into the basket , but put a big stone , or any heavy thing inside , and see what will happen .
[S4] ' as soon as they were inside the dark cave , they put in the eldest princess first , and stirred the basket , and up she went .
[S5] then the basket was let down again , and up went the second princess , and then up went the youngest ; but first she put her arms round her prince 's neck , and kissed him , and cried a little .
[S6] at last it came to the turn of the youngest prince , and instead of going into the basket he put in a big stone .
[S7] he drew on one side and listened , and after the basket was drawn up about twenty perches , down came it and the stone like thunder , and the stone was broken into little bits .","S7: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[7],yes,S7 directly states the stone was broken into bits after the basket was drawn up and then fell back down.
EV012,repair,Hard,"[6, 7, 8, 9]","[S6] not a breath of wind disturbed the smooth surface of the lake .
[S7] not a cloud was seen .
[S8] wassamo looked out on the water toward their nets , and he saw that the little black spots , which were no other than the floats , dotting the lake , had disappeared .
[S9] "" cousin , "" he said , "" let us visit our nets ; perhaps we are fortunate .","Q: what made wassamo believe that he and his cousin were fortunate ?
A: the weather was clear .",4,no,no,"The evidence sentences do not mention the weather being clear as the reason Wassamo believes they are fortunate; the belief is based on the disappearance of the floats, not the weather.",,,,,,the-fire-plume,348,causal relationship,local,implicit,"[S0] wassamo was living with his parents on the shore of a large bay , far out in the north - east .
[S1] one day , when the season had commenced for fish to be plenty , the mother of wassamo said to him , "" my son , i wish you would go to yonder point and see if you can not procure me some fish ; and ask your cousin to accompany you .
[S2] "" he did so .
[S3] they set out , and in the course of the afternoon they arrived at the fishing - ground .
[S4] the cousin , being the elder , attended to the nets , and they encamped near by , using the bark of the birch for a lodge to shelter them through the night .
[S5] they lit a fire , and while they sat conversing with each other , the moon arose .
[S6] not a breath of wind disturbed the smooth surface of the lake .
[S7] not a cloud was seen .
[S8] wassamo looked out on the water toward their nets , and he saw that the little black spots , which were no other than the floats , dotting the lake , had disappeared .
[S9] "" cousin , "" he said , "" let us visit our nets ; perhaps we are fortunate .
[S10] """,,Hard,"[6, 7, 8, 9]",no,"S6 and S7 establish the calm weather, while S8-9 link the disappearance of floats to their fishing fortune, supporting the inference."
EV013,high,Easy,[1],"[S1] the same thing happened there ; but when the giant was snoring , the princess wakened up the prince , and they saddled two steeds in the stables and rode into the field on them .","Q: how were the youngest prince and the elder sister escape from the giant's castle ?
A: they left when the giant was sleeping .",1,yes,yes,"S1 directly states that the princess and prince escaped when the giant was snoring, which aligns with the target answer.",,,,,,the-three-crowns,482,action,local,implicit,"[S0] next day , he went out after breakfast , and she sent the prince to the castle where the eldest sister was .
[S1] the same thing happened there ; but when the giant was snoring , the princess wakened up the prince , and they saddled two steeds in the stables and rode into the field on them .
[S2] but the horses ' heels struck the stones outside the gate , and up got the giant and strode after them .
[S3] he roared and he shouted , and the more he shouted , the faster ran the horses , and just as the day was breaking he was only twenty perches behind .
[S4] but the prince did n't leave the castle of seven inches without being provided with something good .
[S5] he reined in his steed , and flung a short , sharp knife over his shoulder , and up sprung a thick wood between the giant and themselves .
[S6] they caught the wind that blew before them , and the wind that blew behind them did not catch them .
[S7] at last they were near the castle where the other sister lived ; and there she was , waiting for them under a high hedge , and a fine steed under her .","S1: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[1],yes,"S1 directly states they escaped 'when the giant was snoring,' which matches the target answer."
