sample_id,annotation_priority,suggested_difficulty_label,full_context_qa,required_evidence_ids,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,full_context_zh,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason,evidence_context_zh,qa_zh,evidence_context,qa
EV301,high,Easy,"Full context:
[S0] "" i am getting along finely , "" the black sheep would answer , "" for not one sheep in the pasture has so much wool as i have grown already . ""
[S1] "" can i do anything to help you ? "" asked the little boy .
[S2] "" not that i think of , "" replied the sheep , "" unless you could get me a little salt . ""
[S3] "" i believe salt helps the wool to grow . ""
[S4] so the boy ran to the house and begged his mother for a handful of salt , and then he came back to the bars , where the black sheep licked it out of his hand .
[S5] day by day the wool on the sheep grew longer and longer , and even the old ram noticed it and said , "" you are foolish to grow so much wool , for the farmer will cut it all off , and it will do you no good . ""
[S6] "" now i am growing just as little as possible , for since he steals what i have i am determined he shall get very little wool from my back . ""

QA:
Q: what did the black sheep ask the little boy to bring ?
A: salt .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,black-sheep,300,action,local,explicit,"[S0] "" i am getting along finely , "" the black sheep would answer , "" for not one sheep in the pasture has so much wool as i have grown already . ""
[S1] "" can i do anything to help you ? "" asked the little boy .
[S2] "" not that i think of , "" replied the sheep , "" unless you could get me a little salt . ""
[S3] "" i believe salt helps the wool to grow . ""
[S4] so the boy ran to the house and begged his mother for a handful of salt , and then he came back to the bars , where the black sheep licked it out of his hand .
[S5] day by day the wool on the sheep grew longer and longer , and even the old ram noticed it and said , "" you are foolish to grow so much wool , for the farmer will cut it all off , and it will do you no good . ""
[S6] "" now i am growing just as little as possible , for since he steals what i have i am determined he shall get very little wool from my back . ""","[S0] "" 我过得很好 ， "" 黑羊总是这样回答 ， "" 因为牧场上没有一只羊像我这样长了这么多羊毛 。 ""
[S1] "" 我能帮你做点什么吗 ？ "" 小男孩问 。
[S2] "" 我一时想不起来 ， "" 黑羊回答 ， "" 除非你能给我带点盐来 。 ""
[S3] "" 我相信盐有助于羊毛生长 。 ""
[S4] 于是男孩跑回家向母亲要了一把盐 ， 然后回到栅栏边 ， 黑羊从他手中舔食了盐 。
[S5] 日复一日 ， 黑羊身上的羊毛越长越长 ， 连老公羊都注意到了 ， 说 ： "" 你长这么多羊毛真是愚蠢 ， 因为农夫会把它全部剪掉 ， 这对你没有任何好处 。 ""
[S6] "" 现在我尽量少长羊毛 ， 既然他偷走我的东西 ， 我决定让他从我背上得到的羊毛少之又少 。 """,,Easy,[2],yes,,"[S2] "" 我一时想不起来 ， "" 黑羊回答 ， "" 除非你能给我带点盐来 。 ""","Q: 黑羊让小男孩带什么？
A: 盐 。","[S2] "" not that i think of , "" replied the sheep , "" unless you could get me a little salt . ""","Q: what did the black sheep ask the little boy to bring ?
A: salt ."
EV302,high,Easy,"Full context:
[S0] timmy willie , who had lived all his life in a garden , was almost frightened to death .
[S1] presently the cook opened the hamper and began to unpack the vegetables .
[S2] out sprang the terrified timmy willie .
[S3] up jumped the cook on a chair , exclaiming "" a mouse ! ""
[S4] "" a mouse ! ""
[S5] "" call the cat ! ""
[S6] "" fetch me the poker , sarah ! ""
[S7] timmy willie did not wait for sarah with the poker ; he rushed along the skirting board till he came to a little hole , and in he popped .

QA:
Q: why did the cook jump on a chair and shout ?
A: out sprang the terrified timmy willie .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,tale-of-johnny-town-mouse,301,causal relationship,summary,explicit,"[S0] timmy willie , who had lived all his life in a garden , was almost frightened to death .
[S1] presently the cook opened the hamper and began to unpack the vegetables .
[S2] out sprang the terrified timmy willie .
[S3] up jumped the cook on a chair , exclaiming "" a mouse ! ""
[S4] "" a mouse ! ""
[S5] "" call the cat ! ""
[S6] "" fetch me the poker , sarah ! ""
[S7] timmy willie did not wait for sarah with the poker ; he rushed along the skirting board till he came to a little hole , and in he popped .","[S0] 蒂米·威利 ， 一生都生活在花园里 ， 几乎被吓死 。
[S1] 不久 ， 厨师打开篮子开始取出蔬菜 。
[S2] 惊恐的蒂米·威利跳了出来 。
[S3] 厨师跳上椅子 ， 大喊 "" 老鼠 ！ ""
[S4] "" 老鼠 ！ ""
[S5] "" 叫猫来 ！ ""
[S6] "" 莎拉 ， 把拨火棍拿来 ！ ""
[S7] 蒂米·威利没有等莎拉拿拨火棍来 ； 他沿着踢脚板狂奔 ， 直到找到一个小洞 ， 钻了进去 。",,Easy,[2],yes,,[S2] 惊恐的蒂米·威利跳了出来 。,"Q: 为什么厨师跳上椅子大喊 ？
A: 惊恐的蒂米·威利跳了出来 。",[S2] out sprang the terrified timmy willie .,"Q: why did the cook jump on a chair and shout ?
A: out sprang the terrified timmy willie ."
EV303,high,Easy,"Full context:
[S0] when he was finished he looked round for his strange visitor , but she had vanished completely .
[S1] he could not tell how , nor where .
[S2] putting up his spade , he wended his way homewards , and going straight to his master , he told him the whole story .
[S3] he suggested that in future the peats should be taken from the other end of the moor .
[S4] but the master only laughed .
[S5] he was a strong , hearty man , and had no belief in ghosts , or elves , or fairies , or any other creature that he could not see .
[S6] although he laughed , he was vexed that his servant should believe in such things , so to cure him , as he thought , of his superstition , he ordered him to take a horse and cart and go back at once , and lift all the peats and bring them to dry in the farm steading .
[S7] the poor man obeyed with much reluctance .
[S8] he was greatly relieved , as weeks went on , to find that , in spite of his having done so , no harm befell him .

QA:
Q: what did the poor man do after he could not find his strange visitor ?
A: put up his spade , he wended his way homewards , and going straight to his master , he told him the whole story , and suggested that in future the peats should be taken from the other end of the moor .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-fairies-of-merlin-crag,302,action,local,explicit,"[S0] when he was finished he looked round for his strange visitor , but she had vanished completely .
[S1] he could not tell how , nor where .
[S2] putting up his spade , he wended his way homewards , and going straight to his master , he told him the whole story .
[S3] he suggested that in future the peats should be taken from the other end of the moor .
[S4] but the master only laughed .
[S5] he was a strong , hearty man , and had no belief in ghosts , or elves , or fairies , or any other creature that he could not see .
[S6] although he laughed , he was vexed that his servant should believe in such things , so to cure him , as he thought , of his superstition , he ordered him to take a horse and cart and go back at once , and lift all the peats and bring them to dry in the farm steading .
[S7] the poor man obeyed with much reluctance .
[S8] he was greatly relieved , as weeks went on , to find that , in spite of his having done so , no harm befell him .","[S0] 当他干完活 ， 环顾四周寻找那个奇怪的访客时 ， 她已经完全消失了 。
[S1] 他不知道她是如何消失的 ， 也不知道她去了哪里 。
[S2] 他收起铁锹 ， 踏上回家的路 ， 径直去找主人 ， 把整个经过告诉了他 。
[S3] 他建议以后从沼泽的另一端取泥炭 。
[S4] 但主人只是笑了笑 。
[S5] 他是个强壮 、 健康的人 ， 不相信鬼魂 、 精灵 、 仙女或其他任何他看不见的生物 。
[S6] 尽管他笑了 ， 但他对仆人相信这些东西感到恼火 ， 为了治好他的迷信 ， 他命令仆人立刻骑马带车回去 ， 把所有的泥炭都挖出来 ， 运到农场里晾干 。
[S7] 这个可怜的人很不情愿地服从了 。
[S8] 几周过去 ， 他感到非常宽慰 ， 因为尽管他这样做了 ， 但并没有发生任何不幸 。",,Easy,[2],yes,,[S2] 他收起铁锹 ， 踏上回家的路 ， 径直去找主人 ， 把整个经过告诉了他 。,"Q: 这个可怜的人在找不到奇怪的访客后做了什么 ？
A: 收起铁锹 ， 踏上回家的路 ， 径直去找主人 ， 把整个经过告诉了他 ， 并建议以后从沼泽的另一端取泥炭 。","[S2] putting up his spade , he wended his way homewards , and going straight to his master , he told him the whole story .","Q: what did the poor man do after he could not find his strange visitor ?
A: put up his spade , he wended his way homewards , and going straight to his master , he told him the whole story , and suggested that in future the peats should be taken from the other end of the moor ."
EV304,high,Easy,"Full context:
[S0] mike by the stove thought that things were going from bad to worse , and this was the truth , since the further he went the warmer it grew .
[S1] the part of the country in which he was traveling was so parched and dried that not a drop of water was to be found , and he was half - dead with thirst .
[S2] for a long time he hesitated before biting into the last lemon ; but at last there was nothing else left to do .
[S3] when he had bitten into it , a princess looked out : she was the most beautiful in twelve kingdoms , and she cried that if she could have no water , she must die on the spot .
[S4] mike by the stove ran about and looked for water , and this time he met the king 's miller , who showed him the way to the mill - pond .
[S5] when he had come with her to the mill - pond , and had given her water , she came completely out of the lemon .
[S6] but she had nothing to wear , and mike by the stove had to give her his smock .
[S7] she put it on , and hid in a tree ; while he was to go to the castle and bring her clothes , and tell the king he had found her , and how it had all happened .
[S8] meanwhile the cook had come down to the pond to fetch water .
[S9] when she saw the lovely face that was reflected in the pond , she thought it was her own , and was so pleased that she began to dance and jump around , because she had grown so beautiful .

QA:
Q: what did the princess do after she was given the water ?
A: came completely out of the lemon .",[5],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,three-lemons,303,action,local,explicit,"[S0] mike by the stove thought that things were going from bad to worse , and this was the truth , since the further he went the warmer it grew .
[S1] the part of the country in which he was traveling was so parched and dried that not a drop of water was to be found , and he was half - dead with thirst .
[S2] for a long time he hesitated before biting into the last lemon ; but at last there was nothing else left to do .
[S3] when he had bitten into it , a princess looked out : she was the most beautiful in twelve kingdoms , and she cried that if she could have no water , she must die on the spot .
[S4] mike by the stove ran about and looked for water , and this time he met the king 's miller , who showed him the way to the mill - pond .
[S5] when he had come with her to the mill - pond , and had given her water , she came completely out of the lemon .
[S6] but she had nothing to wear , and mike by the stove had to give her his smock .
[S7] she put it on , and hid in a tree ; while he was to go to the castle and bring her clothes , and tell the king he had found her , and how it had all happened .
[S8] meanwhile the cook had come down to the pond to fetch water .
[S9] when she saw the lovely face that was reflected in the pond , she thought it was her own , and was so pleased that she began to dance and jump around , because she had grown so beautiful .","[S0] 炉边的迈克觉得事情越来越糟 ， 这是事实 ， 因为他走得越远 ， 天气就越热 。
[S1] 他旅行的这片地区干旱得连一滴水都找不到 ， 他渴得半死 。
[S2] 他犹豫了很久才咬下最后一个柠檬 ； 但最后他别无选择 。
[S3] 当他咬下柠檬时 ， 一位公主探出头来 ： 她是十二个王国中最美丽的 ， 她哭着说如果她得不到水 ， 她就会当场死去 。
[S4] 炉边的迈克跑来跑去寻找水源 ， 这次他遇到了国王的磨坊主 ， 磨坊主给他指了去磨坊池塘的路 。
[S5] 当他带她来到磨坊池塘 ， 给她水喝后 ， 她完全从柠檬里出来了 。
[S6] 但她没有衣服穿 ， 炉边的迈克只好把自己的罩衫给她 。
[S7] 她穿上罩衫 ， 躲在一棵树上 ； 而他则要去城堡给她拿衣服 ， 并告诉国王他找到了她 ， 以及这一切是如何发生的 。
[S8] 与此同时 ， 厨师来到池塘打水 。
[S9] 当她看到池塘中倒映的美丽脸庞时 ， 她以为那是自己的脸 ， 高兴得开始跳舞蹦跳 ， 因为她变得如此美丽 。",,Easy,[5],yes,,[S5] 当他带她来到磨坊池塘 ， 给她水喝后 ， 她完全从柠檬里出来了 。,"Q: 公主得到水后做了什么 ？
A: 完全从柠檬里出来了 。","[S5] when he had come with her to the mill - pond , and had given her water , she came completely out of the lemon .","Q: what did the princess do after she was given the water ?
A: came completely out of the lemon ."
EV305,high,Easy,"Full context:
[S0] in the place to which they came all was adorned with silver plates and dishes , and with ornaments of silver , and ola thought that the king himself had nothing finer .
[S1] they offered him a drink , which he drank ; but he would not eat , for the food did not seem to him to be appetizing .
[S2] suddenly the man with the gilded goat 's horns came in , and gave ola a shove before he knew it ; but ola came back at him as before , and so they beat and pulled each other through all the rooms , and along all the walls .
[S3] ola was of the opinion that they had been at it all night long ; but by that time the scuffle had lasted over fourteen days , and they had already tolled the church bells for him on three successive thursday evenings .
[S4] on the third thursday evening he was in ill ease , for the people in the hill had in mind to thrust him forth .
[S5] when the bells stopped ringing , he sat at a crack in the hill , with his head looking out .
[S6] had not a man come by and happened to spy him , and told the people to keep on ringing the church - bells , the hill would have closed over him again , and he would probably still be inside .
[S7] but when he came out he had been so badly beaten , and was so miserable , that it passed all measure .
[S8] the lumps on his head were each bigger than the other , his whole body was black and blue , and he was quite out of his mind .
[S9] and from time to time he would leap up , run off and try to get back into the hill to take up his quarrel again , and fight for the gilded goat 's horns .
[S10] for those he wanted to break from the giant 's forehead .

QA:
Q: how long did the scuffle last ?
A: over fourteen days .",[3],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,ola-storbaekkjen,304,action,local,explicit,"[S0] in the place to which they came all was adorned with silver plates and dishes , and with ornaments of silver , and ola thought that the king himself had nothing finer .
[S1] they offered him a drink , which he drank ; but he would not eat , for the food did not seem to him to be appetizing .
[S2] suddenly the man with the gilded goat 's horns came in , and gave ola a shove before he knew it ; but ola came back at him as before , and so they beat and pulled each other through all the rooms , and along all the walls .
[S3] ola was of the opinion that they had been at it all night long ; but by that time the scuffle had lasted over fourteen days , and they had already tolled the church bells for him on three successive thursday evenings .
[S4] on the third thursday evening he was in ill ease , for the people in the hill had in mind to thrust him forth .
[S5] when the bells stopped ringing , he sat at a crack in the hill , with his head looking out .
[S6] had not a man come by and happened to spy him , and told the people to keep on ringing the church - bells , the hill would have closed over him again , and he would probably still be inside .
[S7] but when he came out he had been so badly beaten , and was so miserable , that it passed all measure .
[S8] the lumps on his head were each bigger than the other , his whole body was black and blue , and he was quite out of his mind .
[S9] and from time to time he would leap up , run off and try to get back into the hill to take up his quarrel again , and fight for the gilded goat 's horns .
[S10] for those he wanted to break from the giant 's forehead .","[S0] 他们来到的地方装饰着银盘银碟和银制饰品 ， 奥拉觉得连国王也没有这么精美的东西 。
[S1] 他们给他一杯饮料 ， 他喝了 ； 但他不肯吃东西 ， 因为那些食物看起来并不开胃 。
[S2] 突然 ， 那个戴着镀金山羊角的男人走了进来 ， 趁奥拉不备推了他一把 ； 但奥拉像之前一样还击 ， 于是他们在所有房间里 、 沿着所有墙壁互相殴打拉扯 。
[S3] 奥拉以为他们打了一整夜 ； 但实际上这场打斗已经持续了十四天多 ， 他们已经连续三个星期四晚上为他敲响了教堂的钟声 。
[S4] 在第三个星期四晚上 ， 他处境艰难 ， 因为山里的人打算把他赶出去 。
[S5] 当钟声停止时 ， 他坐在山的一条裂缝处 ， 头探在外面 。
[S6] 如果不是有个人经过 ， 碰巧发现了他 ， 并告诉人们继续敲钟 ， 山就会再次合拢 ， 他可能现在还困在里面 。
[S7] 但当他出来时 ， 他已经被打得遍体鳞伤 ， 痛苦不堪 ， 简直无法形容 。
[S8] 他头上的肿块一个比一个大 ， 全身青一块紫一块 ， 神志不清 。
[S9] 他不时会跳起来 ， 跑出去 ， 试图回到山里继续争吵 ， 为那对镀金的山羊角而战 。
[S10] 因为他想从巨人的额头上掰下它们 。",,Easy,[3],yes,,[S3] 奥拉以为他们打了一整夜 ； 但实际上这场打斗已经持续了十四天多 ， 他们已经连续三个星期四晚上为他敲响了教堂的钟声 。,"Q: 这场打斗持续了多久 ？
A: 十四天多 。","[S3] ola was of the opinion that they had been at it all night long ; but by that time the scuffle had lasted over fourteen days , and they had already tolled the church bells for him on three successive thursday evenings .","Q: how long did the scuffle last ?
A: over fourteen days ."
EV306,high,Easy,"Full context:
[S0] he spoke no more , and as the sun fell out of view the light had gone from his face .
[S1] the family stood still , as if they expected to hear something further .
[S2] but when they came to his side and called him by name , his spirit did not answer .
[S3] it was in another world .
[S4] the mother and daughter lamented aloud , but the elder son clothed himself in silence , as though it had been a mantle .
[S5] he took his course as though nothing had occurred .
[S6] he exerted himself to supply , with his bow and net , the wants of the little household , but he never made mention of his father .
[S7] five moons had filled and waned , and the sixth was near its full , when the mother also died .
[S8] in her last moments she pressed the fulfillment of their father 's wish .

QA:
Q: what did the mother and daughter do after the spirit did not answer ?
A: lamented aloud .",[4],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,sheem-the-forsaken-boy,305,action,local,explicit,"[S0] he spoke no more , and as the sun fell out of view the light had gone from his face .
[S1] the family stood still , as if they expected to hear something further .
[S2] but when they came to his side and called him by name , his spirit did not answer .
[S3] it was in another world .
[S4] the mother and daughter lamented aloud , but the elder son clothed himself in silence , as though it had been a mantle .
[S5] he took his course as though nothing had occurred .
[S6] he exerted himself to supply , with his bow and net , the wants of the little household , but he never made mention of his father .
[S7] five moons had filled and waned , and the sixth was near its full , when the mother also died .
[S8] in her last moments she pressed the fulfillment of their father 's wish .","[S0] 他不再说话 ， 当太阳落下时 ， 他脸上的光芒也消失了 。
[S1] 一家人静静地站着 ， 仿佛在期待听到更多 。
[S2] 但当他们走到他身边 ， 呼唤他的名字时 ， 他的灵魂没有回应 。
[S3] 它已经去了另一个世界 。
[S4] 母亲和女儿大声哀悼 ， 但长子沉默不语 ， 仿佛披上了一件斗篷 。
[S5] 他像什么都没发生过一样继续自己的生活 。
[S6] 他努力用弓箭和渔网满足这个小家庭的需求 ， 但他从未提起父亲 。
[S7] 五个月圆月缺过去 ， 第六个月圆将近时 ， 母亲也去世了 。
[S8] 临终前 ， 她敦促孩子们完成父亲的愿望 。",,Easy,[4],yes,,[S4] 母亲和女儿大声哀悼 ， 但长子沉默不语 ， 仿佛披上了一件斗篷 。,"Q: 母亲和女儿在灵魂没有回应后做了什么 ？
A: 大声哀悼 。","[S4] the mother and daughter lamented aloud , but the elder son clothed himself in silence , as though it had been a mantle .","Q: what did the mother and daughter do after the spirit did not answer ?
A: lamented aloud ."
EV307,high,Easy,"Full context:
[S0] which last sentence was both unjust and untrue , for the poor wolf looked as lean and badly nourished as he could possibly be .
[S1] so back they both went to the cave , arguing all the way .
[S2] the fox declaring that the wolf must have been the thief , and the wolf protesting his innocence .
[S3] "" are you ready to swear to it ? "" said the fox at last ; though why he asked such a question , dear only knows .
[S4] "" yes , i am , "" replied the wolf firmly ; and , standing in the middle of the cave , and holding one paw up solemnly he swore this awful oath : "" if it be that i stole the butter ; if it be , if it be-- may a fateful , fell disease fall on me , fall on me . ""

QA:
Q: what did the wolf do to prove his innocence ?
A: swore this awful oath .",[4],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-fox-and-the-wolf,306,action,local,explicit,"[S0] which last sentence was both unjust and untrue , for the poor wolf looked as lean and badly nourished as he could possibly be .
[S1] so back they both went to the cave , arguing all the way .
[S2] the fox declaring that the wolf must have been the thief , and the wolf protesting his innocence .
[S3] "" are you ready to swear to it ? "" said the fox at last ; though why he asked such a question , dear only knows .
[S4] "" yes , i am , "" replied the wolf firmly ; and , standing in the middle of the cave , and holding one paw up solemnly he swore this awful oath : "" if it be that i stole the butter ; if it be , if it be-- may a fateful , fell disease fall on me , fall on me . ""","[S0] 最后一句话既不公平也不真实 ， 因为可怜的狼看起来瘦弱不堪 ， 营养不良 。
[S1] 于是他们一起回到洞穴 ， 一路上争论不休 。
[S2] 狐狸坚称狼一定是小偷 ， 而狼则坚称自己无辜 。
[S3] "" 你愿意为此发誓吗 ？ "" 狐狸最后问道 ； 尽管只有天知道他为什么要问这个问题 。
[S4] "" 是的 ， 我愿意 ， "" 狼坚定地回答 ； 他站在洞穴中央 ， 庄严地举起一只爪子 ， 发下这个可怕的誓言 ： "" 如果我偷了黄油 ； 如果是我 ， 如果是我 —— 愿可怕的 、 致命的疾病降临在我身上 ， 降临在我身上 。 """,,Easy,[4],yes,,"[S4] "" 是的 ， 我愿意 ， "" 狼坚定地回答 ； 他站在洞穴中央 ， 庄严地举起一只爪子 ， 发下这个可怕的誓言 ： "" 如果我偷了黄油 ； 如果是我 ， 如果是我 —— 愿可怕的 、 致命的疾病降临在我身上 ， 降临在我身上 。 ""","Q: 狼如何证明自己的清白 ？
A: 发下这个可怕的誓言 。","[S4] "" yes , i am , "" replied the wolf firmly ; and , standing in the middle of the cave , and holding one paw up solemnly he swore this awful oath : "" if it be that i stole the butter ; if it be , if it be-- may a fateful , fell disease fall on me , fall on me . ""","Q: what did the wolf do to prove his innocence ?
A: swore this awful oath ."
EV308,high,Easy,"Full context:
[S0] once upon a time there was a poor tenant farmer who had a number of children whom he could feed but poorly , and had to clothe in the scantiest way .
[S1] they were all handsome ; but the most beautiful , after all , was the youngest daughter .
[S2] she was beautiful beyond all telling .

QA:
Q: what did all the children look like ?
A: handsome .",[1],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,east-of-sun-and-west-of-moon,307,character,local,explicit,"[S0] once upon a time there was a poor tenant farmer who had a number of children whom he could feed but poorly , and had to clothe in the scantiest way .
[S1] they were all handsome ; but the most beautiful , after all , was the youngest daughter .
[S2] she was beautiful beyond all telling .","[S0] 从前有一个贫穷的佃农 ， 他有许多孩子 ， 但只能勉强喂饱他们 ， 给他们穿最简陋的衣服 。
[S1] 他们都很英俊 ； 但最美丽的还是小女儿 。
[S2] 她的美丽无法用言语形容 。",,Easy,[1],yes,,[S1] 他们都很英俊 ； 但最美丽的还是小女儿 。,"Q: 所有的孩子长什么样 ？
A: 英俊 。","[S1] they were all handsome ; but the most beautiful , after all , was the youngest daughter .","Q: what did all the children look like ?
A: handsome ."
EV309,high,Easy,"Full context:
[S0] john blessom once upon a time had gone down to copenhagen to carry on a suit at law , for in those days one could not get justice in the land of norroway ; and if a man wanted his rights , there was nothing left for him to do but to travel to copenhagen .
[S1] this is what blessom had done , and what his son did after him , for he , too , carried on a law - suit .
[S2] now it chanced that on christmas eve john had had speech with the gentleman in authority , and had attended to his business , and was going along the street in a low - spirited manner , for he was homesick .
[S3] and as he went along , a man from vaage , in a white blouse , with a knapsack , and buttons as big as silver dollars , passed him .
[S4] he was a large , heavily - built man .
[S5] it seemed to blessom that he must know him ; but he was walking very fast .

QA:
Q: where had john blessom gone down to ?
A: copenhagen .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,lord-of-hill-and-john-blessom,308,setting,local,explicit,"[S0] john blessom once upon a time had gone down to copenhagen to carry on a suit at law , for in those days one could not get justice in the land of norroway ; and if a man wanted his rights , there was nothing left for him to do but to travel to copenhagen .
[S1] this is what blessom had done , and what his son did after him , for he , too , carried on a law - suit .
[S2] now it chanced that on christmas eve john had had speech with the gentleman in authority , and had attended to his business , and was going along the street in a low - spirited manner , for he was homesick .
[S3] and as he went along , a man from vaage , in a white blouse , with a knapsack , and buttons as big as silver dollars , passed him .
[S4] he was a large , heavily - built man .
[S5] it seemed to blessom that he must know him ; but he was walking very fast .","[S0] 约翰·布莱索姆曾前往哥本哈根打官司 ， 因为在那个年代 ， 在挪威的土地上无法得到公正 ； 如果一个人想要自己的权利 ， 他别无选择 ， 只能前往哥本哈根 。
[S1] 这就是布莱索姆所做的 ， 也是他儿子后来所做的 ， 因为他也在打官司 。
[S2] 现在 ， 在圣诞前夜 ， 约翰与当权者谈过话 ， 处理完自己的事务后 ， 情绪低落地走在街上 ， 因为他想家了 。
[S3] 当他走在街上时 ， 一个穿着白色罩衫 、 背着背包 、 纽扣大如银元的瓦格人从他身边经过 。
[S4] 他是个高大 、 魁梧的人 。
[S5] 布莱索姆觉得他一定认识这个人 ； 但那人走得很快 。",,Easy,[0],yes,,[S0] 约翰·布莱索姆曾前往哥本哈根打官司 ， 因为在那个年代 ， 在挪威的土地上无法得到公正 ； 如果一个人想要自己的权利 ， 他别无选择 ， 只能前往哥本哈根 。,"Q: 约翰·布莱索姆去了哪里 ？
A: 哥本哈根 。","[S0] john blessom once upon a time had gone down to copenhagen to carry on a suit at law , for in those days one could not get justice in the land of norroway ; and if a man wanted his rights , there was nothing left for him to do but to travel to copenhagen .","Q: where had john blessom gone down to ?
A: copenhagen ."
EV310,high,Easy,"Full context:
[S0] now the poor labourer was but a clumsy dancer , and he held back with a shamefaced air .
[S1] but the fairy who had been chosen to be his partner reached up and seized his hands , and lo !
[S2] some strange magic seemed to enter into his veins .
[S3] for in a moment he found himself waltzing and whirling , sliding and bowing , as if he had done nothing else but dance all his life .
[S4] and , strangest thing of all !
[S5] he forgot about his home and his children .
[S6] he felt so happy that he had no longer the slightest desire to leave the fairies ' company .
[S7] all night long the merriment went on .
[S8] the little folk danced and danced as if they were mad , and the farm man danced with them , until at last a shrill sound came over the moor .
[S9] it was the cock from the farmyard crowing its loudest to welcome the dawn .

QA:
Q: why did the poor man start dancing ?
A: some strange magic seemed to enter into his veins .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-fairies-of-merlin-crag,309,causal relationship,local,explicit,"[S0] now the poor labourer was but a clumsy dancer , and he held back with a shamefaced air .
[S1] but the fairy who had been chosen to be his partner reached up and seized his hands , and lo !
[S2] some strange magic seemed to enter into his veins .
[S3] for in a moment he found himself waltzing and whirling , sliding and bowing , as if he had done nothing else but dance all his life .
[S4] and , strangest thing of all !
[S5] he forgot about his home and his children .
[S6] he felt so happy that he had no longer the slightest desire to leave the fairies ' company .
[S7] all night long the merriment went on .
[S8] the little folk danced and danced as if they were mad , and the farm man danced with them , until at last a shrill sound came over the moor .
[S9] it was the cock from the farmyard crowing its loudest to welcome the dawn .","[S0] 这个可怜的农夫是个笨拙的舞者 ， 他害羞地退缩着 。
[S1] 但被选为他舞伴的仙女伸手抓住他的手 ， 看哪 ！
[S2] 似乎有一种奇怪的魔法注入了他的血管 。
[S3] 一瞬间 ， 他发现自己旋转 、 滑步 、 鞠躬 ， 仿佛他一生都在跳舞 。
[S4] 最奇怪的是 ！
[S5] 他忘记了自己的家和孩子们 。
[S6] 他感到如此快乐 ， 以至于他再也不想离开仙女的陪伴 。
[S7] 欢乐持续了整夜 。
[S8] 小精灵们疯狂地跳舞 ， 农夫和他们一起跳 ， 直到最后沼泽地上传来一声尖锐的声音 。
[S9] 那是农场里的公鸡在最大声地啼叫 ， 迎接黎明 。",,Easy,[2],yes,,[S2] 似乎有一种奇怪的魔法注入了他的血管 。,"Q: 为什么这个可怜的人开始跳舞 ？
A: 似乎有一种奇怪的魔法注入了他的血管 。",[S2] some strange magic seemed to enter into his veins .,"Q: why did the poor man start dancing ?
A: some strange magic seemed to enter into his veins ."
