sample_id,annotation_priority,suggested_difficulty_label,full_context_qa,required_evidence_ids,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason,evidence_context,qa
EV451,high,Easy,"Full context:
[S0] far in advance , moti continued his wild career .
[S1] presently in his course he came to a great field of castor - oil plants , ten or twelve feet high , big and bushy , but quite green and soft .
[S2] hoping to escape from the back of his fiery steed moti grasped one in passing , but its roots gave way , and he dashed on , with the whole plant looking like a young tree flourishing in his grip .
[S3] the enemy were in battle array , advancing over the plain , their king with them confident and cheerful , when suddenly from the front came a desperate rider at a furious gallop .
[S4] ' sire ! ' he cried , ' save yourself ! '
[S5] ' the enemy are coming ! '
[S6] ' what do you mean ? ' said the king .
[S7] ' oh , sire ! '
[S8] panted the messenger , ' fly at once , there is no time to lose . '
[S9] ' foremost of the enemy rides a mad giant at a furious gallop . '
[S10] ' he flourishes a tree for a club and is wild with anger , for as he goes he cries , "" you wait till i get hold of you ! i 'll skin you alive ! i 'll wring your neck ! i 'll break every bone in your body ! "" others ride behind , and you will do well to retire before this whirlwind of destruction comes upon you . '

QA:
Q: why did moti grasp one of the cator oil plants ?
A: hoped to escape from the back of his fiery steed .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,moti,450,causal relationship,local,explicit,"[S0] far in advance , moti continued his wild career .
[S1] presently in his course he came to a great field of castor - oil plants , ten or twelve feet high , big and bushy , but quite green and soft .
[S2] hoping to escape from the back of his fiery steed moti grasped one in passing , but its roots gave way , and he dashed on , with the whole plant looking like a young tree flourishing in his grip .
[S3] the enemy were in battle array , advancing over the plain , their king with them confident and cheerful , when suddenly from the front came a desperate rider at a furious gallop .
[S4] ' sire ! ' he cried , ' save yourself ! '
[S5] ' the enemy are coming ! '
[S6] ' what do you mean ? ' said the king .
[S7] ' oh , sire ! '
[S8] panted the messenger , ' fly at once , there is no time to lose . '
[S9] ' foremost of the enemy rides a mad giant at a furious gallop . '
[S10] ' he flourishes a tree for a club and is wild with anger , for as he goes he cries , "" you wait till i get hold of you ! i 'll skin you alive ! i 'll wring your neck ! i 'll break every bone in your body ! "" others ride behind , and you will do well to retire before this whirlwind of destruction comes upon you . '",,Easy,[2],yes,,"[S2] hoping to escape from the back of his fiery steed moti grasped one in passing , but its roots gave way , and he dashed on , with the whole plant looking like a young tree flourishing in his grip .","Q: why did moti grasp one of the cator oil plants ?
A: hoped to escape from the back of his fiery steed ."
EV452,high,Easy,"Full context:
[S0] in this way the years went on , but the crops were not so good as they had been , and the old man gave orders that some fine houses he was building in the city should be left unfinished , for it would take all the savings to complete them .
[S1] as to the elder son , he would never even hear his name mentioned , and died at last without ever seeing his face , leaving to the younger , as he had promised , all his lands , as well as his money .
[S2] meanwhile , the son whom he had disinherited had grown poorer and poorer .
[S3] he and his wife were always looking out for something to do , and never spent a penny that they could help , but luck was against them , and at the time of his father 's death they had hardly bread to eat or clothes to cover them .
[S4] if there had been only himself , he would have managed to get on somehow , but he could not bear to watch his children becoming weaker day by day , and swallowing his pride , at length he crossed the mountains to his old home where his brother was living .

QA:
Q: why did the elder son swallow his pride and crossed the mountains to his old home ?
A: he could not bear to watch his children becoming weaker day by day .",[4],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-rich-brother-and-the-poor-brother,451,causal relationship,local,explicit,"[S0] in this way the years went on , but the crops were not so good as they had been , and the old man gave orders that some fine houses he was building in the city should be left unfinished , for it would take all the savings to complete them .
[S1] as to the elder son , he would never even hear his name mentioned , and died at last without ever seeing his face , leaving to the younger , as he had promised , all his lands , as well as his money .
[S2] meanwhile , the son whom he had disinherited had grown poorer and poorer .
[S3] he and his wife were always looking out for something to do , and never spent a penny that they could help , but luck was against them , and at the time of his father 's death they had hardly bread to eat or clothes to cover them .
[S4] if there had been only himself , he would have managed to get on somehow , but he could not bear to watch his children becoming weaker day by day , and swallowing his pride , at length he crossed the mountains to his old home where his brother was living .",,Easy,[4],yes,,"[S4] if there had been only himself , he would have managed to get on somehow , but he could not bear to watch his children becoming weaker day by day , and swallowing his pride , at length he crossed the mountains to his old home where his brother was living .","Q: why did the elder son swallow his pride and crossed the mountains to his old home ?
A: he could not bear to watch his children becoming weaker day by day ."
EV453,high,Easy,"Full context:
[S0] the king 's son was going to be married , so there were general rejoicings .
[S1] he had waited a whole year for his bride , and at last she had arrived .
[S2] she was a russian princess , and had driven all the way from finland in a sledge drawn by six reindeer .
[S3] the sledge was shaped like a great golden swan , and between the swan 's wings lay the little princess herself .
[S4] her long ermine - cloak reached right down to her feet , on her head was a tiny cap of silver tissue , and she was as pale as the snow palace in which she had always lived .
[S5] so pale was she that as she drove through the streets all the people wondered .
[S6] "" she is like a white rose ! "" they cried , and they threw down flowers on her from the balconies .
[S7] for the next three days everybody went about saying , "" white rose , red rose , red rose , white rose "" ; and the king gave orders that the page 's salary was to be doubled .
[S8] as he received no salary at all this was not of much use to him , but it was considered a great honour , and was duly published in the court gazette .
[S9] when the three days were over the marriage was celebrated .
[S10] it was a magnificent ceremony , and the bride and bridegroom walked hand in hand under a canopy of purple velvet embroidered with little pearls .
[S11] then there was a state banquet , which lasted for five hours .
[S12] the prince and princess sat at the top of the great hall and drank out of a cup of clear crystal .
[S13] only true lovers could drink out of this cup , for if false lips touched it , it grew grey and dull and cloudy .
[S14] "" it 's quite clear that they love each other , "" said the little page , "" as clear as crystal ! ""
[S15] and the king doubled his salary a second time .
[S16] "" what an honour ! "" cried all the courtiers .
[S17] after the banquet there was to be a ball .
[S18] the bride and bridegroom were to dance the rose - dance together , and the king had promised to play the flute .
[S19] he played very badly , but no one had ever dared to tell him so , because he was the king .
[S20] indeed , he knew only two airs , and was never quite certain which one he was playing ; but it made no matter , for , whatever he did , everybody cried out , "" charming ! ""
[S21] "" charming ! ""
[S22] the last item on the programme was a grand display of fireworks , to be let off exactly at midnight .
[S23] the little princess had never seen a firework in her life , so the king had given orders that the royal pyrotechnist should be in attendance on the day of her marriage .

QA:
Q: what event was being celebrated at the castle ?
A: the day of the little princess 's marriage .",[23],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,remarkable-rocket,452,action,summary,explicit,"[S0] the king 's son was going to be married , so there were general rejoicings .
[S1] he had waited a whole year for his bride , and at last she had arrived .
[S2] she was a russian princess , and had driven all the way from finland in a sledge drawn by six reindeer .
[S3] the sledge was shaped like a great golden swan , and between the swan 's wings lay the little princess herself .
[S4] her long ermine - cloak reached right down to her feet , on her head was a tiny cap of silver tissue , and she was as pale as the snow palace in which she had always lived .
[S5] so pale was she that as she drove through the streets all the people wondered .
[S6] "" she is like a white rose ! "" they cried , and they threw down flowers on her from the balconies .
[S7] for the next three days everybody went about saying , "" white rose , red rose , red rose , white rose "" ; and the king gave orders that the page 's salary was to be doubled .
[S8] as he received no salary at all this was not of much use to him , but it was considered a great honour , and was duly published in the court gazette .
[S9] when the three days were over the marriage was celebrated .
[S10] it was a magnificent ceremony , and the bride and bridegroom walked hand in hand under a canopy of purple velvet embroidered with little pearls .
[S11] then there was a state banquet , which lasted for five hours .
[S12] the prince and princess sat at the top of the great hall and drank out of a cup of clear crystal .
[S13] only true lovers could drink out of this cup , for if false lips touched it , it grew grey and dull and cloudy .
[S14] "" it 's quite clear that they love each other , "" said the little page , "" as clear as crystal ! ""
[S15] and the king doubled his salary a second time .
[S16] "" what an honour ! "" cried all the courtiers .
[S17] after the banquet there was to be a ball .
[S18] the bride and bridegroom were to dance the rose - dance together , and the king had promised to play the flute .
[S19] he played very badly , but no one had ever dared to tell him so , because he was the king .
[S20] indeed , he knew only two airs , and was never quite certain which one he was playing ; but it made no matter , for , whatever he did , everybody cried out , "" charming ! ""
[S21] "" charming ! ""
[S22] the last item on the programme was a grand display of fireworks , to be let off exactly at midnight .
[S23] the little princess had never seen a firework in her life , so the king had given orders that the royal pyrotechnist should be in attendance on the day of her marriage .",,Easy,[23],yes,,"[S23] the little princess had never seen a firework in her life , so the king had given orders that the royal pyrotechnist should be in attendance on the day of her marriage .","Q: what event was being celebrated at the castle ?
A: the day of the little princess 's marriage ."
EV454,high,Easy,"Full context:
[S0] yet when she had lain down and put out the light , she saw a man come in and cast himself down in a corner .
[S1] it was the white bear , who was allowed to throw off his fur at night .
[S2] the maiden never actually saw him , for he never came until she had put out the light .
[S3] before dawn brightened he had disappeared again .
[S4] for a time all went well ; but gradually the maiden grew sad and silent .
[S5] she had not a soul to keep her company the live - long day , and she felt very homesick for her parents and sisters .
[S6] when the white bear asked her what troubled her , she told him she was always alone , and that she wanted so very much to see her parents and sisters again .
[S7] she felt very sad because she could not do so .
[S8] "" o that can be managed , "" said the white bear .
[S9] "" but first you must promise me that you will never speak to your mother alone ; but only when others are present . ""
[S10] "" very likely she will take you by the hand , and want to lead you into her room , so that she can speak to you alone . ""
[S11] "" but this you must not allow , otherwise you will make us both unhappy . ""

QA:
Q: what did the maiden see when she put out the light ?
A: a man come in and cast himself down in a corner .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,east-of-sun-and-west-of-moon,453,action,local,explicit,"[S0] yet when she had lain down and put out the light , she saw a man come in and cast himself down in a corner .
[S1] it was the white bear , who was allowed to throw off his fur at night .
[S2] the maiden never actually saw him , for he never came until she had put out the light .
[S3] before dawn brightened he had disappeared again .
[S4] for a time all went well ; but gradually the maiden grew sad and silent .
[S5] she had not a soul to keep her company the live - long day , and she felt very homesick for her parents and sisters .
[S6] when the white bear asked her what troubled her , she told him she was always alone , and that she wanted so very much to see her parents and sisters again .
[S7] she felt very sad because she could not do so .
[S8] "" o that can be managed , "" said the white bear .
[S9] "" but first you must promise me that you will never speak to your mother alone ; but only when others are present . ""
[S10] "" very likely she will take you by the hand , and want to lead you into her room , so that she can speak to you alone . ""
[S11] "" but this you must not allow , otherwise you will make us both unhappy . """,,Easy,[0],yes,,"[S0] yet when she had lain down and put out the light , she saw a man come in and cast himself down in a corner .","Q: what did the maiden see when she put out the light ?
A: a man come in and cast himself down in a corner ."
EV455,high,Easy,"Full context:
[S0] "" he surely is a kind master , "" said the king 's son to himself , walked up and down the room , and whistled and sang .
[S1] he thought there would be plenty of time to clean the stable .
[S2] "" but it would be nice to take a look at the other room , there surely must be something in it that he is alarmed about , since i am not so much as to take a look , "" thought he , and went into the first room .
[S3] there hung a kettle , and it was boiling , but the king 's son could find no fire beneath it .
[S4] "" what can there be in it ? "" thought he , and dipped in a lock of his hair , and at once the hair grew just like copper .
[S5] "" that 's a fine soup , and whoever tastes it will burn his mouth , "" said the youth , and went into the next room .
[S6] there hung another kettle that bubbled and boiled .
[S7] but there was no fire beneath it , either .
[S8] "" i must try this one , too , "" said the king 's son , and again he dipped in a lock of his hair and it grew just like silver .
[S9] "" we have no such expensive soup at home , "" said the king 's son , "" but the main thing is , how does it taste ? ""
[S10] and with that he went into the third room .
[S11] and there hung still another kettle , a - boiling just like those in the two other rooms , and the king 's son wanted to try this one , too .
[S12] he dipped in a lock of his hair , and it came out like pure gold , and fairly shimmered .

QA:
Q: what was special about the first kettle ?
A: it was boiling but the king 's son could find no fire beneath it .",[3],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,master-girl,454,action,local,explicit,"[S0] "" he surely is a kind master , "" said the king 's son to himself , walked up and down the room , and whistled and sang .
[S1] he thought there would be plenty of time to clean the stable .
[S2] "" but it would be nice to take a look at the other room , there surely must be something in it that he is alarmed about , since i am not so much as to take a look , "" thought he , and went into the first room .
[S3] there hung a kettle , and it was boiling , but the king 's son could find no fire beneath it .
[S4] "" what can there be in it ? "" thought he , and dipped in a lock of his hair , and at once the hair grew just like copper .
[S5] "" that 's a fine soup , and whoever tastes it will burn his mouth , "" said the youth , and went into the next room .
[S6] there hung another kettle that bubbled and boiled .
[S7] but there was no fire beneath it , either .
[S8] "" i must try this one , too , "" said the king 's son , and again he dipped in a lock of his hair and it grew just like silver .
[S9] "" we have no such expensive soup at home , "" said the king 's son , "" but the main thing is , how does it taste ? ""
[S10] and with that he went into the third room .
[S11] and there hung still another kettle , a - boiling just like those in the two other rooms , and the king 's son wanted to try this one , too .
[S12] he dipped in a lock of his hair , and it came out like pure gold , and fairly shimmered .",,Easy,[3],yes,,"[S3] there hung a kettle , and it was boiling , but the king 's son could find no fire beneath it .","Q: what was special about the first kettle ?
A: it was boiling but the king 's son could find no fire beneath it ."
EV456,high,Easy,"Full context:
[S0] an old couple once lived in a hut under a grove of palm trees , and they had one son and one daughter .
[S1] they were all very happy together for many years , and then the father became very ill , and felt he was going to die .
[S2] he called his children to the place where he lay on the floor -- for no one had any beds in that country -- and said to his son , ' i have no herds of cattle to leave you -- only the few things there are in the house -- for i am a poor man , as you know . '
[S3] ' but choose : will you have my blessing or my property ? '
[S4] ' your property , certainly , ' answered the son , and his father nodded .
[S5] ' and you ? ' asked the old man of the girl , who stood by her brother .
[S6] ' i will have blessing , ' she answered , and her father gave her much blessing .

QA:
Q: what did the son choose ?
A: his property .",[4],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-one-handed-girl,455,action,local,explicit,"[S0] an old couple once lived in a hut under a grove of palm trees , and they had one son and one daughter .
[S1] they were all very happy together for many years , and then the father became very ill , and felt he was going to die .
[S2] he called his children to the place where he lay on the floor -- for no one had any beds in that country -- and said to his son , ' i have no herds of cattle to leave you -- only the few things there are in the house -- for i am a poor man , as you know . '
[S3] ' but choose : will you have my blessing or my property ? '
[S4] ' your property , certainly , ' answered the son , and his father nodded .
[S5] ' and you ? ' asked the old man of the girl , who stood by her brother .
[S6] ' i will have blessing , ' she answered , and her father gave her much blessing .",,Easy,[4],yes,,"[S4] ' your property , certainly , ' answered the son , and his father nodded .","Q: what did the son choose ?
A: his property ."
EV457,high,Easy,"Full context:
[S0] quite unlike other boys , kintaro , grew up all alone in the mountain wilds .
[S1] as he had no companions he made friends with all the animals and learned to understand them and to speak their strange talk .
[S2] by degrees they all grew quite tame and looked upon kintaro as their master , and he used them as his servants and messengers .
[S3] but his special retainers were the bear , the deer , the monkey and the hare .

QA:
Q: why was kintaro unlike the other boys ?
A: grew up all alone in the mountain wilds .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,adventures-of-kintaro-golden-boy,456,causal relationship,local,explicit,"[S0] quite unlike other boys , kintaro , grew up all alone in the mountain wilds .
[S1] as he had no companions he made friends with all the animals and learned to understand them and to speak their strange talk .
[S2] by degrees they all grew quite tame and looked upon kintaro as their master , and he used them as his servants and messengers .
[S3] but his special retainers were the bear , the deer , the monkey and the hare .",,Easy,[0],yes,,"[S0] quite unlike other boys , kintaro , grew up all alone in the mountain wilds .","Q: why was kintaro unlike the other boys ?
A: grew up all alone in the mountain wilds ."
EV458,high,Easy,"Full context:
[S0] he returned , and inquired whether his grandfather had put up the poles and made the fire .
[S1] he was answered , no .
[S2] nor did he believe that he had seen any thing of the kind .
[S3] he must have lost his senses to be talking of such things .
[S4] another day the young man went out to see what there was , within a day 's hunt , that was curious ; and on entering the woods he heard a voice calling out to him , "" come here , you destined wearer of the white feather . ""
[S5] "" you do not wear it , yet , but you are worthy of it . ""
[S6] "" return home and take a short nap . ""
[S7] "" you will dream of hearing a voice , which will tell you to rise and smoke . ""
[S8] "" you will see in your dream a pipe , a smoking - sack , and a large white feather . ""
[S9] "" when you awake you will find these articles . ""
[S10] "" put the feather on your head , and you will become a great hunter , a great warrior , and a great man , able to do any thing . ""
[S11] "" as a proof that these things shall come to pass , when you smoke , the smoke will turn into pigeons . ""
[S12] the voice then informed the young man who he was , and made known the character of his grandfather , who was imposing upon him to serve his own ends .
[S13] the voice - spirit then caused a vine to be laid at his side , and told him that he was now of an age to avenge the wrongs of his kindred .
[S14] "" when you meet your enemy , "" the spirit added , "" you will run a race with him . ""
[S15] "" he will not see the vine , because it is enchanted . ""
[S16] "" while you are running , you will throw it over his head and entangle him , so that you will win the race . ""

QA:
Q: why will the enemy not see the vine ?
A: the vine is enchanted .",[15],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,white-feather-and-the-six-giants,457,causal relationship,local,explicit,"[S0] he returned , and inquired whether his grandfather had put up the poles and made the fire .
[S1] he was answered , no .
[S2] nor did he believe that he had seen any thing of the kind .
[S3] he must have lost his senses to be talking of such things .
[S4] another day the young man went out to see what there was , within a day 's hunt , that was curious ; and on entering the woods he heard a voice calling out to him , "" come here , you destined wearer of the white feather . ""
[S5] "" you do not wear it , yet , but you are worthy of it . ""
[S6] "" return home and take a short nap . ""
[S7] "" you will dream of hearing a voice , which will tell you to rise and smoke . ""
[S8] "" you will see in your dream a pipe , a smoking - sack , and a large white feather . ""
[S9] "" when you awake you will find these articles . ""
[S10] "" put the feather on your head , and you will become a great hunter , a great warrior , and a great man , able to do any thing . ""
[S11] "" as a proof that these things shall come to pass , when you smoke , the smoke will turn into pigeons . ""
[S12] the voice then informed the young man who he was , and made known the character of his grandfather , who was imposing upon him to serve his own ends .
[S13] the voice - spirit then caused a vine to be laid at his side , and told him that he was now of an age to avenge the wrongs of his kindred .
[S14] "" when you meet your enemy , "" the spirit added , "" you will run a race with him . ""
[S15] "" he will not see the vine , because it is enchanted . ""
[S16] "" while you are running , you will throw it over his head and entangle him , so that you will win the race . """,,Easy,[15],yes,,"[S15] "" he will not see the vine , because it is enchanted . ""","Q: why will the enemy not see the vine ?
A: the vine is enchanted ."
EV459,high,Easy,"Full context:
[S0] then i saw her out walking .
[S1] i went up to her , and i thought she would turn me back to my own shape , and she struck me with the rod and made of me an old white horse .
[S2] she ordered me to be put to a cart with a man to draw stones from morning till night .
[S3] i was worse off then .
[S4] she spread abroad a report that i had died suddenly in my bed , and prepared a coffin , and waked me , and buried me .
[S5] then she had no trouble .
[S6] but when i got tired , i began to kill everyone who came near me , and i used to go into the haggard every night and destroy the stacks of corn .
[S7] when a man came near me in the morning , i would follow him till i broke his bones .
[S8] everyone got afraid of me .
[S9] when she saw i was doing mischief , she came to meet me , and i thought she would change me .
[S10] and she did change me , and made a fox of me .
[S11] when i saw she was doing me every sort of damage , i went away from her .
[S12] i knew there was a badger 's hole in the garden , and i went there till night came , and i made great slaughter among the ducks and geese .
[S13] there she is herself to say if i am telling a lie .
[S14] "" oh , you are telling nothing but the truth , only less than the truth . ""
[S15] when she had enough of my killing the fowl , she came out into the garden , for she knew i was in the badger 's hole .
[S16] she came to me , and made me a wolf .
[S17] i had to be off , and go to an island , where no one at all would see me , and now and then i used to be killing sheep , for there were not many of them , and i was afraid of being seen and hunted ; and so i passed a year , till a shepherd saw me among the sheep , and a pursuit was made after me .
[S18] and when the dogs came near me , there was no place for me to escape to from them ; but i recognised the sign of the king among the men , and i made for him , and the king cried out to stop the hounds .
[S19] i took a leap upon the front of the king 's saddle , and the woman behind cried out , "" my king and my lord , kill him , or he will kill you . ""

QA:
Q: what happened after the man got tired ?
A: he began to kill everyone who came near him .",[6],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,morraha,458,outcome resolution,local,explicit,"[S0] then i saw her out walking .
[S1] i went up to her , and i thought she would turn me back to my own shape , and she struck me with the rod and made of me an old white horse .
[S2] she ordered me to be put to a cart with a man to draw stones from morning till night .
[S3] i was worse off then .
[S4] she spread abroad a report that i had died suddenly in my bed , and prepared a coffin , and waked me , and buried me .
[S5] then she had no trouble .
[S6] but when i got tired , i began to kill everyone who came near me , and i used to go into the haggard every night and destroy the stacks of corn .
[S7] when a man came near me in the morning , i would follow him till i broke his bones .
[S8] everyone got afraid of me .
[S9] when she saw i was doing mischief , she came to meet me , and i thought she would change me .
[S10] and she did change me , and made a fox of me .
[S11] when i saw she was doing me every sort of damage , i went away from her .
[S12] i knew there was a badger 's hole in the garden , and i went there till night came , and i made great slaughter among the ducks and geese .
[S13] there she is herself to say if i am telling a lie .
[S14] "" oh , you are telling nothing but the truth , only less than the truth . ""
[S15] when she had enough of my killing the fowl , she came out into the garden , for she knew i was in the badger 's hole .
[S16] she came to me , and made me a wolf .
[S17] i had to be off , and go to an island , where no one at all would see me , and now and then i used to be killing sheep , for there were not many of them , and i was afraid of being seen and hunted ; and so i passed a year , till a shepherd saw me among the sheep , and a pursuit was made after me .
[S18] and when the dogs came near me , there was no place for me to escape to from them ; but i recognised the sign of the king among the men , and i made for him , and the king cried out to stop the hounds .
[S19] i took a leap upon the front of the king 's saddle , and the woman behind cried out , "" my king and my lord , kill him , or he will kill you . """,,Easy,[6],yes,,"[S6] but when i got tired , i began to kill everyone who came near me , and i used to go into the haggard every night and destroy the stacks of corn .","Q: what happened after the man got tired ?
A: he began to kill everyone who came near him ."
EV460,high,Easy,"Full context:
[S0] there were once upon a time a king and a queen who lived happily together , and they had twelve children , all of whom were boys .
[S1] one day the king said to his wife : ' if our thirteenth child is a girl , all her twelve brothers must die , so that she may be very rich and the kingdom hers alone . '
[S2] then he ordered twelve coffins to be made , and filled them with shavings , and placed a little pillow in each .
[S3] these he put away in an empty room , and , giving the key to his wife , he bade her tell no one of it .
[S4] the queen grieved over the sad fate of her sons and refused to be comforted , so much so that the youngest boy , who was always with her , and whom she had christened benjamin , said to her one day : ' dear mother , why are you so sad ? '
[S5] ' my child , ' she answered , ' i may not tell you the reason . '

QA:
Q: how did the queen feel about the fate of her sons ?
A: sad .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,twelve-brothers,459,feeling,local,explicit,"[S0] there were once upon a time a king and a queen who lived happily together , and they had twelve children , all of whom were boys .
[S1] one day the king said to his wife : ' if our thirteenth child is a girl , all her twelve brothers must die , so that she may be very rich and the kingdom hers alone . '
[S2] then he ordered twelve coffins to be made , and filled them with shavings , and placed a little pillow in each .
[S3] these he put away in an empty room , and , giving the key to his wife , he bade her tell no one of it .
[S4] the queen grieved over the sad fate of her sons and refused to be comforted , so much so that the youngest boy , who was always with her , and whom she had christened benjamin , said to her one day : ' dear mother , why are you so sad ? '
[S5] ' my child , ' she answered , ' i may not tell you the reason . '",,Easy,[0],yes,,"[S0] there were once upon a time a king and a queen who lived happily together , and they had twelve children , all of whom were boys .","Q: how did the queen feel about the fate of her sons ?
A: sad ."
